GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AssociateManagementApp,com.epam.associatemanagementapp.dtos,BatchDTO,0,56,0,0,0,8,0,12,0,12
AssociateManagementApp,com.epam.associatemanagementapp.dtos,AssociateDTO,0,76,0,0,0,10,0,16,0,16
AssociateManagementApp,com.epam.associatemanagementapp.exceptionhandler,ExceptionResponse,0,27,0,0,0,5,0,5,0,5
AssociateManagementApp,com.epam.associatemanagementapp.exceptionhandler,ApplicationExceptionHandler,30,43,0,0,2,4,2,4,2,4
AssociateManagementApp,com.epam.associatemanagementapp,AssociateManagementAppApplication,5,7,0,0,2,2,1,2,1,2
AssociateManagementApp,com.epam.associatemanagementapp.entites,Batch,0,66,0,0,0,9,0,14,0,14
AssociateManagementApp,com.epam.associatemanagementapp.entites,Associate,0,76,0,0,0,10,0,16,0,16
AssociateManagementApp,com.epam.associatemanagementapp.controller,AssociateController,0,51,0,0,0,11,0,6,0,6
AssociateManagementApp,com.epam.associatemanagementapp.exceptions,AssociateException,0,4,0,0,0,2,0,1,0,1
AssociateManagementApp,com.epam.associatemanagementapp.service,AssociateServiceImpl,0,120,0,4,0,24,0,9,0,7
